Planting 2024 Bell Road,,,,,,,,,,DVC-1/DET-36/DDI-01AB,DVC-1/DET-36/DDI-EA62,DVC-1/DET-36/DDI-EA63,DVC-1/DET-36/DDI-EA64,DVC-1/DET-37/DDI-0043,DVC-1/DET-37/DDI-0087,DVC-1/DET-37/DDI-000C,DVC-1/DET-37/DDI-019F,DVC-1/DET-37/DDI-01A1,DVC-1/DET-37/DDI-01A3,DVC-1/DET-37/DDI-EA60,DVC-1/DET-37/DDI-EA6F,DVC-1/DET-37/DDI-01AB,DVC-1/DET-37/DDI-EA62,DVC-1/DET-37/DDI-EA63,DVC-1/DET-37/DDI-EA64,DVC-1/DET-38/DDI-0043,DVC-1/DET-38/DDI-0087,DVC-1/DET-38/DDI-000C,DVC-1/DET-38/DDI-019F,DVC-1/DET-38/DDI-01A1,DVC-1/DET-38/DDI-01A3,DVC-1/DET-38/DDI-EA60,DVC-1/DET-38/DDI-EA6F,DVC-1/DET-38/DDI-01AB,DVC-1/DET-38/DDI-EA62,DVC-1/DET-38/DDI-EA63,DVC-1/DET-38/DDI-EA64,DVC-1/DET-39/DDI-0043,DVC-1/DET-39/DDI-0087,DVC-1/DET-39/DDI-000C,DVC-1/DET-39/DDI-019F,DVC-1/DET-39/DDI-01A1,DVC-1/DET-39/DDI-01A3,DVC-1/DET-39/DDI-EA60,DVC-1/DET-39/DDI-EA6F,DVC-1/DET-39/DDI-01AB,DVC-1/DET-39/DDI-EA62,DVC-1/DET-39/DDI-EA63,DVC-1/DET-39/DDI-EA64,DVC-1/DET-40/DDI-0043,DVC-1/DET-40/DDI-0087,DVC-1/DET-40/DDI-000C,DVC-1/DET-40/DDI-019F,DVC-1/DET-40/DDI-01A1,DVC-1/DET-40/DDI-01A3,DVC-1/DET-40/DDI-EA60,DVC-1/DET-40/DDI-EA6F,DVC-1/DET-40/DDI-01AB,DVC-1/DET-40/DDI-EA62,DVC-1/DET-40/DDI-EA63,DVC-1/DET-40/DDI-EA64,DVC-1/DET-41/DDI-0043,DVC-1/DET-41/DDI-0087,DVC-1/DET-41/DDI-000C,DVC-1/DET-41/DDI-019F,DVC-1/DET-41/DDI-01A1,DVC-1/DET-41/DDI-01A3,DVC-1/DET-41/DDI-EA60,DVC-1/DET-41/DDI-EA6F,DVC-1/DET-41/DDI-01AB,DVC-1/DET-41/DDI-EA62,DVC-1/DET-41/DDI-EA63,DVC-1/DET-41/DDI-EA64,DVC-1/DET-42/DDI-0043,DVC-1/DET-42/DDI-0087,DVC-1/DET-42/DDI-000C,DVC-1/DET-42/DDI-019F,DVC-1/DET-42/DDI-01A1,DVC-1/DET-42/DDI-01A3,DVC-1/DET-42/DDI-EA60,DVC-1/DET-42/DDI-EA6F,DVC-1/DET-42/DDI-01AB,DVC-1/DET-42/DDI-EA62,DVC-1/DET-42/DDI-EA63,DVC-1/DET-42/DDI-EA64,DVC-1/DET-43/DDI-0043,DVC-1/DET-43/DDI-0087,DVC-1/DET-43/DDI-000C,DVC-1/DET-43/DDI-019F,DVC-1/DET-43/DDI-01A1,DVC-1/DET-43/DDI-01A3,DVC-1/DET-43/DDI-EA60,DVC-1/DET-43/DDI-EA6F,DVC-1/DET-43/DDI-01AB,DVC-1/DET-43/DDI-EA62,DVC-1/DET-43/DDI-EA63,DVC-1/DET-43/DDI-EA64,DVC-1/DET-3/DDI-0086,DVC-1/DET-4/DDI-0086,DVC-1/DET-9/DDI-0086,DVC-1/DET-10/DDI-0086,DVC-1/DET-11/DDI-0086,DVC-1/DET-12/DDI-0086,DVC-1/DET-13/DDI-0086,DVC-1/DET-14/DDI-0086,DVC-1/DET-15/DDI-0086,DVC-1/DET-16/DDI-0086,DVC-1/DET-17/DDI-0086,DVC-1/DET-18/DDI-0086,DVC-1/DET-19/DDI-0086,DVC-1/DET-20/DDI-0086,DVC-1/DET-21/DDI-0086,DVC-1/DET-22/DDI-0086,DVC-1/DET-23/DDI-0086,DVC-1/DET-24/DDI-0086,DVC-1/DET-25/DDI-0086,DVC-1/DET-26/DDI-0086,DVC-1/DET-27/DDI-0086,DVC-1/DET-5/DDI-0087,DVC-1/DET-6/DDI-0087,DVC-1/DET-9/DDI-0087,DVC-1/DET-12/DDI-0087,DVC-1/DET-13/DDI-0087,DVC-1/DET-14/DDI-0087,DVC-1/DET-15/DDI-0087,DVC-1/DET-16/DDI-0087,DVC-1/DET-17/DDI-0087,DVC-1/DET-18/DDI-0087,DVC-1/DET-19/DDI-0087,DVC-1/DET-28/DDI-0087,DVC-1/DET-29/DDI-0087,DVC-1/DET-30/DDI-0087,DVC-1/DET-31/DDI-0087,DVC-1/DET-32/DDI-0087,DVC-1/DET-33/DDI-0087,DVC-1/DET-34/DDI-0087,DVC-1/DET-35/DDI-0087,DVC-1/DET-44/DDI-0087,DVC-1/DET-45/DDI-0087,DVC-1/DET-46/DDI-0087,DVC-1/DET-47/DDI-0087,DVC-1/DET-48/DDI-0087,DVC-1/DET-49/DDI-0087,DVC-1/DET-50/DDI-0087,DVC-1/DET-51/DDI-0087,DVC-1/DET-3/DDI-008F,DVC-1/DET-2/DDI-009D,DVC-2000000/DET-2000002/DDI-F23E,DVC-1/DET-4/DDI-016F,DVC-2000000/DET-2000002/DDI-0046,DVC-2000000/DET-2000001/DDI-0086,DVC-2000000/DET-2000001/DDI-0087,DVC-2000000/DET-2000000/DDI-008D,DVC-2000000/DET-2000001/DDI-009D,DVC-1/DET-3/DDI-0052,DVC-1/DET-3/DDI-0074,DVC-1/DET-4/DDI-0050,DVC-1/DET-4/DDI-0074,DVC-1/DET-1/DDI-0077,DVC-1/DET-3/DDI-0077,DVC-1/DET-4/DDI-0077,DVC-2000000/DET-2000002/DDI-F243,DVC-2000000/DET-2000002/DDI-F231,DVC-2000000/DET-2000002/DDI-0096,
 2024-04-16 13:33:04.517,40.6542621,-89.3594774,236.455,0.9,1.7,36, 18:33:04.450Z, 2024-04-16,34,,,970000,,,,7996,,,,190600,-177,,,800000,,,,7387,,,,161200,-355,,,,,,,7536,,26600,,172400,-489,,920000,,,,,7186,,,,162100,-667,,,950000,,,,7076,,,,146000,355,,920000,,,,,4850,641500,358500,,169300,0,,960000,930000,,,,7378,,13200,,149600,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237915,344,
 2024-04-16 13:33:05.520,40.6542877,-89.3594774,236.395,0.9,1.7,36, 18:33:05.450Z, 2024-04-16,46,,,900000,989700,,,7902,,,,191100,-88,,,930000,938400,,,7384,,,,160900,-222,,,730000,,,,7520,943600,,,173200,-400,,1000000,710000,952300,,,7195,,,,162700,,,960000,860000,,,,7056,,,,145900,444,,1000000,940000,,,,4841,,,,169200,311,,920000,900000,,,,7393,,,,149300,667,,,970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,865000,116780,0,0,3545,3545,0,,230157,356,
 2024-04-16 13:33:06.530,40.6543133,-89.3594776,236.336,0.9,1.7,36, 18:33:06.450Z, 2024-04-16,44,569,,920000,,,,7776,,,,190900,44,533,,890000,,,,7370,,,,160700,-88,760,,890000,,,,7485,,,,172100,-266,564,,620000,,,,7231,,,,162600,-578,507,1000000,820000,,,,7041,,,,145900,266,604,,1000000,,,,4797,661200,338800,,169600,222,604,1000000,920000,,,,7394,,,,149400,444,507,,890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,264839,309,
 2024-04-16 13:33:07.536,40.6543388,-89.3594779,236.279,0.9,1.7,36, 18:33:07.450Z, 2024-04-16,47,444,,840000,,,,7676,800700,93000,113300,190500,-44,467,,860000,,,,7383,,,,160400,-133,493,,900000,,,,7452,953600,,,170900,-311,644,,960000,,,,7234,,,,163400,-667,578,920000,620000,,,,7041,,,,146900,355,551,960000,940000,986200,,,4787,,,,169100,88,538,,1000000,,,,7397,,,,150000,311,636,,670000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,262251,312,
 2024-04-16 13:33:08.544,40.6543641,-89.3594776,236.234,0.9,1.7,36, 18:33:08.450Z, 2024-04-16,37,,,960000,,,,7606,,,103300,191200,-88,,,640000,,,,7393,,,,160900,133,,800000,310000,,,,7457,,,,170300,-444,,,920000,962700,,,7247,,,,164000,,,1000000,850000,,,,7103,960300,,,147400,222,,760000,820000,,,,4791,,,,169100,222,,,900000,,,,7373,,,,149900,489,,,760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,245902,333,
 2024-04-16 13:33:09.554,40.6543897,-89.3594772,236.181,0.9,1.7,36, 18:33:09.450Z, 2024-04-16,36,,,780000,,,,7522,,112900,,192500,400,,,650000,,,,7383,,,,160900,533,,1000000,740000,,,,7438,,,,171400,-311,,,940000,,,,7234,,,,163800,-533,,920000,830000,,,,7098,,,,147800,444,,1000000,430000,,,,4799,,,,169500,533,,760000,410000,,,,7377,,,,150300,578,,,910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264726,309,
 2024-04-16 13:33:10.557,40.6544154,-89.3594774,236.132,0.9,1.7,36, 18:33:10.450Z, 2024-04-16,39,444,,720000,,,,7522,788200,,,193400,44,,,820000,,,,7376,,10000,,161400,88,,,770000,,,,7451,,,,171600,,,,890000,,,,7247,,,,164400,-622,,1000000,910000,,,,7114,,,,149700,222,,920000,610000,,,,4818,650000,350000,,169300,489,,1000000,760000,,,,7407,,,,150700,711,,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,278611,294,
 2024-04-16 13:33:11.560,40.6544411,-89.3594772,236.078,0.9,1.7,36, 18:33:11.450Z, 2024-04-16,44,502,920000,980000,,,,7514,813400,,76600,193100,-88,569,,630000,,,,7366,,,,162400,-311,591,,710000,,,,7450,,,,172000,,453,960000,660000,,,,7233,,,,164000,-756,533,,840000,,,,7115,,,,150300,-222,471,1000000,850000,,,,4806,,,,169800,266,502,960000,770000,,,,7354,,,,150500,845,409,,930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274578,298,
 2024-04-16 13:33:12.562,40.6544665,-89.3594771,236.044,0.9,1.7,36, 18:33:12.450Z, 2024-04-16,39,,1000000,1000000,,,,7447,,,,193400,-44,,,550000,,,,7351,,,,162600,-44,,920000,920000,,,,7456,,,,172500,-222,,1000000,900000,,,,7234,,,,164700,-667,,960000,650000,,,,7123,,,10000,150200,-133,,920000,760000,,,,4841,,,,169300,355,,1000000,970000,,,,7344,,,,150300,889,,,960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,273521,299,
 2024-04-16 13:33:13.576,40.6544931,-89.3594771,236.013,0.9,1.7,36, 18:33:13.500Z, 2024-04-16,32,,,940000,,,,7461,,,,194400,-177,,,580000,,,,7354,,,,162400,133,,1000000,880000,,,,7413,,,,173400,-355,,,950000,,,,7233,,,,164300,,,1000000,940000,,,,7120,,,,150100,0,,,670000,,,,4785,,,,,311,,,1000000,,,,7339,,,,150200,1112,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,264767,309,
 2024-04-16 13:33:14.580,40.6545186,-89.3594772,235.98,0.9,1.7,36, 18:33:14.500Z, 2024-04-16,14,,,810000,,,,7376,824000,99600,,194300,-44,,,760000,,,,7373,,,,161900,222,,920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,268443,305,
 2024-04-16 13:33:15.586,40.654545,-89.3594774,235.95,0.9,1.7,36, 18:33:15.550Z, 2024-04-16,47,596,,960000,,,,7246,843400,,56400,194400,,471,,1000000,,,,7370,,,,161400,-44,542,1000000,950000,,,,7428,,16600,,171400,-400,529,920000,860000,,,,7199,,,,164300,,644,1000000,750000,,,,7102,,,,151100,-177,493,800000,510000,976100,,,4810,637900,362100,,168900,533,524,,740000,,,,7359,,,,150000,711,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,252588,324,
 2024-04-16 13:33:16.598,40.6545702,-89.3594775,235.918,0.9,1.7,36, 18:33:16.550Z, 2024-04-16,48,,,980000,,,,7186,853900,86600,,195000,0,471,,640000,949200,,,7376,976700,,,161100,133,542,920000,960000,,,,7471,967000,,,172600,-222,529,1000000,650000,,,,7199,,,,164100,-578,644,,860000,,,,7087,,,,151600,0,493,1000000,960000,,,,4755,649100,350900,,169800,711,524,,690000,,,,7361,,,,149600,444,489,,940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232980,352,
 2024-04-16 13:33:17.600,40.6545953,-89.3594775,235.892,0.9,1.7,36, 18:33:17.450Z, 2024-04-16,37,,,1000000,,,,7216,,,,194400,88,,,820000,,,,7391,,,,162100,355,,1000000,640000,,,,7481,,,,172500,-355,,,950000,,,,7202,986800,13200,,163200,-667,,920000,770000,,,,7097,,,,151900,222,,,760000,965700,,,4768,,,,169500,756,,,790000,,,,7342,,,,149200,88,,,890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,228021,359,
 2024-04-16 13:33:18.603,40.6546207,-89.3594774,235.889,0.9,1.7,36, 18:33:18.550Z, 2024-04-16,43,,,900000,,,,7131,880900,72800,46300,194900,355,,920000,630000,,,,7388,,,,161400,,,840000,510000,973000,,,7514,,,,172400,-266,,920000,760000,973200,,,7212,,,,163800,-622,,760000,750000,962900,,,7098,,,,152600,578,,880000,690000,,,,4808,,,,169800,578,,,930000,,,,7354,,,,150400,133,,,680000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,-1,,,,,,,,,,,,,,238001,344,
 2024-04-16 13:33:19.611,40.6546461,-89.3594772,235.857,0.9,1.7,36, 18:33:19.550Z, 2024-04-16,46,458,,960000,,,,7019,,83000,,195900,133,529,1000000,550000,,,,7404,,,,162100,222,600,1000000,710000,,,,7519,,,,172500,-311,440,1000000,840000,,,,7210,,,,165600,,515,1000000,930000,,,,7108,,,,153200,400,409,1000000,890000,,,,4802,659100,340900,,170400,489,484,,700000,,,,7371,,,,149600,44,547,,910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240676,340,
 2024-04-16 13:33:20.615,40.6546715,-89.3594771,235.857,0.9,1.7,36, 18:33:20.550Z, 2024-04-16,42,458,,930000,,,,7008,893800,,29800,197100,-44,529,,510000,,,,7424,,,,162000,,600,,980000,,,,7543,,,,173400,-222,440,920000,730000,,,,7182,,,,166400,-578,515,920000,660000,,,,7111,,,,154700,222,409,,880000,,,,4799,,,,171400,800,,,900000,,,,7366,983500,,,149300,-44,,,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,243214,337,
 2024-04-16 13:33:21.617,40.6546967,-89.359477,235.846,0.9,1.7,36, 18:33:21.550Z, 2024-04-16,41,,,790000,,,,6999,,,16500,197800,44,,,880000,,,,7430,,,,162300,489,,,770000,,,,7574,,,,174800,-133,,1000000,690000,,,,7194,,,,166700,-533,,1000000,730000,,,,7137,,,,155500,177,,920000,670000,955700,,,4782,644800,355200,,171300,845,484,,980000,,,,7373,,,,149400,-88,547,,800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,237399,345,
 2024-04-16 13:33:22.633,40.654722,-89.3594772,235.847,0.9,1.7,36, 18:33:22.550Z, 2024-04-16,34,,,1000000,,,,6930,,,,199200,,,,620000,959500,,,7413,,,,163000,578,,,960000,,,,7546,,,,175700,-355,,,950000,,,,7212,,,,167700,-667,,920000,820000,952800,,,7103,,,,155900,533,,960000,940000,,,,4753,,,,171200,934,,,870000,,,,7377,,,,150000,-133,,,830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214722,381,
 2024-04-16 13:33:23.636,40.6547474,-89.3594773,235.843,0.9,1.7,36, 18:33:23.550Z, 2024-04-16,42,524,,,,,,6906,,93000,,200500,0,462,,,,,,7414,,,13200,163500,,449,,920000,,,,7596,,,,177100,-311,480,,780000,,,,7282,,,,168800,-578,685,1000000,680000,,,,7089,,,,156200,800,520,1000000,920000,,,,4759,,,,170700,845,480,,1000000,,,,7373,,,,150200,-355,529,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,-1,,,,,,,,,,,,,,218086,376,
 2024-04-16 13:33:24.641,40.6547727,-89.3594773,235.864,0.9,1.7,36, 18:33:24.550Z, 2024-04-16,36,,,960000,979500,,,6904,,103300,3300,201300,133,,,870000,,,,7417,,,,163500,800,,,1000000,,,,7625,,,,177800,-222,,880000,710000,,,,7299,,,,168900,-533,,920000,920000,,,,7104,,,,,667,,,970000,,,,4774,,,,170300,533,,,980000,,,,7389,,,,150500,-177,,,760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,210512,389,
 2024-04-16 13:33:25.646,40.6547993,-89.3594773,235.87,0.9,1.7,36, 18:33:25.600Z, 2024-04-16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7633,953700,,,178700,,,,,962800,,,7291,,,,169300,,,,,,,,7089,,,,156500,,,,,,,,4789,,,,170600,,,,,,,,7378,,,,150800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,213705,383,
 2024-04-16 13:33:26.649,40.6548245,-89.3594773,235.888,0.9,1.7,36, 18:33:26.600Z, 2024-04-16,42,524,,880000,,,,6898,,,,202300,-44,462,,790000,,,,7438,,,,163600,711,449,,970000,,,,7597,,,,180800,-177,480,1000000,570000,,,,7281,,,0,169500,-578,685,1000000,980000,,,,7085,,,,156600,533,520,,1000000,,,,4794,,,,170400,266,480,880000,,,,,7394,,,10000,151800,-44,,,890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203780,402,
 2024-04-16 13:33:27.651,40.6548499,-89.3594772,235.884,0.9,1.7,36, 18:33:27.600Z, 2024-04-16,37,,,890000,,,,6899,,,,203500,133,,,920000,,,,7431,,,,164400,578,,880000,750000,,,,7562,,,30000,182000,,,920000,640000,,,,7279,,,,170400,-533,,,750000,942700,,,7083,,,,157700,622,,,840000,,,,4736,,,,171500,133,,920000,600000,,,,7391,,,,152800,-133,529,,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,211384,388,
 2024-04-16 13:33:28.661,40.6548752,-89.3594773,235.888,0.9,1.7,36, 18:33:28.600Z, 2024-04-16,52,440,920000,910000,,,,6827,910300,89700,,204600,355,475,,820000,,,,7414,,,,164900,,533,1000000,790000,,,,7638,933700,,43100,183100,-222,622,1000000,840000,,,,7276,,,,171600,-622,515,,640000,,,,7110,,,0,157600,756,467,,1000000,,,,4733,633400,366600,0,171800,400,538,1000000,900000,,,,7375,,,,154400,44,453,,610000,976600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,214076,383,
 2024-04-16 13:33:29.667,40.6549005,-89.3594771,235.879,0.9,1.7,36, 18:33:29.600Z, 2024-04-16,33,,1000000,980000,,,,6790,,,,205200,400,,,1000000,,,,7429,,,,166000,400,,920000,730000,,,,7619,,,,183300,-311,,,950000,,,,7275,,,,171800,,,960000,960000,,,,7155,,30000,,158000,,,,960000,,,,4713,,,,171200,177,,,980000,994700,,,7397,,,,155500,-133,,,800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,
 2024-04-16 13:33:30.671,40.6549258,-89.3594772,235.866,0.9,1.7,36, 18:33:30.600Z, 2024-04-16,35,,,960000,,,,6748,,,,205700,533,,,880000,,,,7422,986800,,,166200,355,,1000000,1000000,,,,7597,,,,184700,-400,,,880000,,,,7242,,,,172200,,,1000000,660000,,,,7134,,,,158500,934,,,1000000,965700,,,4724,,,,171700,266,,,1000000,,,,7447,,,,156400,-222,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,212212,386,
 2024-04-16 13:33:31.676,40.6549512,-89.3594772,235.856,0.9,1.7,36, 18:33:31.600Z, 2024-04-16,43,440,920000,980000,,,,6717,,,,206600,711,475,,1000000,971000,,,7410,,,,166700,533,533,,940000,,,,7625,,,,186200,-266,622,920000,690000,948800,,,7242,,,,173500,,515,,1000000,,,,7129,,,,159000,,467,,,,,,4721,,,,172200,-44,538,920000,770000,,,,7429,,,,157800,-266,,880000,480000,966400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,220468,372,
 2024-04-16 13:33:32.678,40.6549751,-89.3594774,235.865,0.9,1.7,36, 18:33:32.550Z, 2024-04-16,42,520,1000000,940000,,,,6686,,,,205700,578,493,,,,,,7404,,,,167400,489,480,,970000,,,,7620,,,,187400,-355,538,1000000,610000,,,,7210,,,,173900,-711,533,,930000,,,,7115,,,,159100,978,498,,960000,,,,4768,,,,173300,-133,520,1000000,650000,,,,7366,,,,159300,-355,511,1000000,340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209029,392,
 2024-04-16 13:33:33.681,40.6550007,-89.3594774,235.845,0.9,1.7,36, 18:33:33.550Z, 2024-04-16,39,,,1000000,,,,6620,894100,105900,,203100,845,,,970000,,,,7405,,,,167800,44,,,930000,,,,7669,923700,,53100,190000,-400,,,920000,,,,7252,,,,174300,-667,,,1000000,,,,7108,,,,159300,800,,,1000000,,,,4787,643400,356600,,173900,-177,,,900000,,,,7368,973500,,,159700,-444,,,960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,245706,333,
 2024-04-16 13:33:34.695,40.6550261,-89.3594775,235.837,0.9,1.7,36, 18:33:34.650Z, 2024-04-16,37,,,,989700,,,6530,,,,204900,667,,,940000,,,,7396,,,,169000,,,,910000,,,,7691,,,,191900,-266,,,760000,,,,7209,973400,26600,,175300,-533,,,,,,,7119,,40000,,160300,400,,920000,920000,,,,4752,,,,175700,88,,920000,580000,,,,7340,,23300,,160900,-355,,,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,-1,,,,,,,,,,,,,,237386,345,
 2024-04-16 13:33:35.697,40.6550538,-89.3594772,235.825,0.9,1.7,36, 18:33:35.650Z, 2024-04-16,39,498,920000,970000,,,,6533,,,,205800,578,480,,950000,,,,7380,,,,170500,0,,,810000,,,,7707,,,,193400,-311,,,790000,,,,7205,,,,176600,-622,,840000,880000,,,,7103,,,,161200,355,,1000000,900000,975800,,,4711,623400,376600,,177100,177,,,860000,,,,7355,,,,162000,-400,,,980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228963,358,
 2024-04-16 13:33:36.700,40.655078,-89.3594772,235.794,0.9,1.7,36, 18:33:36.600Z, 2024-04-16,57,498,1000000,750000,,,,6548,,,,207400,489,480,,780000,,,,7410,,,,171700,311,435,,840000,983300,,,7733,,,,194400,-355,640,920000,870000,,,,7250,,,,178100,,462,1000000,750000,,,,7085,946900,,,163200,489,613,840000,830000,,,,4744,637900,362100,,179000,266,489,1000000,570000,,,,7349,,,,163400,0,467,920000,940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,,65,,,,,,,872000,117813,0,0,3576,3576,0,,269493,304,
 2024-04-16 13:33:37.703,40.6551035,-89.3594772,235.756,0.9,1.7,36, 18:33:37.600Z, 2024-04-16,39,,920000,910000,,,,6593,,,,207800,578,,,890000,,,,7391,,,,173000,44,,920000,950000,,,,7712,,,,195800,-311,,960000,460000,,,,7246,,,,178400,-489,,960000,910000,955700,,,7088,,,,164100,222,,1000000,820000,,,,4752,,,,181000,44,,,560000,,,,7312,,,,164100,133,,1000000,910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,267592,306,
 2024-04-16 13:33:38.705,40.6551287,-89.3594771,235.708,0.9,1.7,36, 18:33:38.600Z, 2024-04-16,34,,1000000,950000,,,,6653,883400,116600,,208300,,,,,981200,,,7396,,,,173100,-222,,1000000,,,,,7711,,,,196500,-400,,1000000,,,,,7247,,,,178900,-622,,1000000,790000,,,,7090,,,,164400,-177,,,750000,,,,4802,,,,180900,-311,,,1000000,,,,7303,,,,164300,-355,,,880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265251,309,
 2024-04-16 13:33:39.706,40.6551538,-89.3594769,235.657,0.9,1.7,36, 18:33:39.600Z, 2024-04-16,40,,,,,,,6635,893700,106300,,208400,622,,,920000,,,,7389,,,,174600,-177,,,770000,,,,7728,936700,,,196300,-266,,,950000,,,,7202,,,,179000,-489,,,1000000,965900,,,7084,,53100,,165200,-222,,,840000,,,,4821,647900,352100,,182400,-88,,920000,790000,,,,7318,,,,164800,-444,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-1,,,,,,,,,,,,,,252200,325,
 2024-04-16 13:33:40.709,40.6551801,-89.3594771,235.624,0.9,1.7,36, 18:33:40.650Z, 2024-04-16,42,507,,910000,,,,6637,,,,208400,311,475,,870000,,,,7378,,,0,176200,133,475,920000,680000,,,,7732,,,,197300,-355,569,,820000,,,,7181,,,,179200,-578,524,,860000,,,,7100,,,,165100,-177,618,,740000,,,,4807,,,,183200,-177,560,1000000,580000,,,,7335,,,,165500,-533,640,,530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,252157,,
